Name,Age,Transaction_ID,Transaction_Time,Amount,Previous_Balance,Current_Balance,Transaction_Frequency_Weekly,Transaction_Type,Device_Type,Is_International,Device_Change,Fraud_Label
Adam Crawford,25,38c9fb14-7f90-4e64-83d6-736ec835baaf,2025-06-21 04:53:51,2785.71,17634.36,14848.65,19,Transfer,ATM,1,1,1
Paul Montgomery,25,77ec0ae8-dfd6-4433-8445-dc3a0def1dea,2025-05-28 19:41:08,198.07,4186.04,3987.97,19,ATM Withdrawal,ATM,0,0,0
Cassandra Mcfarland,33,c08497cb-e112-437a-b6bb-39ada8309ac7,2025-09-18 10:24:31,860.12,45674.22,44814.1,16,Bill Payment,Web,0,1,1
Mary White,65,a0fcae51-797d-4ecb-9ba9-2bf23b5e2354,2025-09-12 02:45:32,3189.8,10794.53,7604.73,18,Transfer,Web,0,0,0
Eileen Rosales,50,3a1e7828-4d85-432a-a7d8-58e83a43e153,2025-08-01 04:53:00,1703.19,34100.57,32397.38,17,Online Purchase,Web,0,0,0
Joseph Kelley,35,816cf627-a029-48f9-a990-2cfe366f214d,2025-08-25 20:50:28,3329.1,25626.17,22297.07,9,Transfer,ATM,0,0,0
John Martin,65,70fa912d-bb1d-48ab-bad3-44ac5e2afd3e,2025-05-08 17:45:33,2995.36,37813.22,34817.86,16,Transfer,POS,0,0,0
Ricky Hill,72,9842763c-5f15-42a2-8a2a-3af399cc1494,2025-07-02 17:07:29,1152.42,27693.27,26540.85,17,Online Purchase,ATM,0,0,0
Danny Chang,70,a841d220-20d6-4972-a946-f875f05ba073,2025-07-10 03:55:52,1513.15,3095.34,1582.19,8,Bill Payment,Mobile,0,0,0
Dr. Christopher Mejia,63,64e80b98-1311-48da-b7df-7df476a80550,2025-06-21 11:47:32,1204.61,8314.31,7109.7,3,ATM Withdrawal,Mobile,0,0,0
Judith Thompson,65,97a3135f-05d3-4d91-8555-b18ac3a0befb,2025-01-31 08:28:47,1390.03,30542.37,29152.34,4,Online Purchase,POS,0,0,0
Tracy Adkins,61,d5ff9fe5-577b-454a-abc6-b87106d160a8,2025-08-11 12:48:52,136.24,14663.69,14527.45,11,Online Purchase,Mobile,0,0,0
Ruben Salas,30,8e86d1c5-7b82-4bf5-9483-5e61927f0f1f,2025-06-30 07:50:19,360.21,14261.71,13901.5,9,Online Purchase,Mobile,0,0,0
Linda Bowers,73,c27b352b-3187-44e6-89e3-a8dd4595d341,2025-10-08 13:09:01,1811.67,44500.64,42688.97,9,Transfer,Mobile,0,0,0
Randy Torres,57,9e0220a2-491a-447f-8d90-994675ba67bb,2025-06-17 20:09:37,639.61,25195.38,24555.77,17,Online Purchase,ATM,0,0,0
Kathy Harris,28,8e937431-e491-4e3d-9457-0712761bb7bd,2025-01-18 08:53:59,4361.22,34225.96,29864.74,16,ATM Withdrawal,Mobile,0,0,0
Melissa Edwards,72,48fffce7-79a0-420b-8249-83aec379127a,2025-09-11 23:31:37,2298.22,4329.89,2031.67,3,Transfer,Web,0,0,0
Crystal Wilson,37,708c64a5-651d-4bc3-b6b0-2ae2566d2bb7,2025-08-27 07:33:08,2177.24,38237.59,36060.35,4,Bill Payment,ATM,0,0,0
Darren Smith,60,555bfa02-4969-4f1c-8993-0b113618681c,2025-09-07 10:48:00,326.82,11195.23,10868.41,4,Online Purchase,Web,1,0,1
Melanie Greene,50,92ffdc88-41e7-4cc4-8df2-647ce8d93247,2025-05-05 18:23:36,3211.31,2575.54,-635.77,14,ATM Withdrawal,ATM,0,0,0
Amanda Wilson,51,7d8b746c-f293-4d2c-b153-650cae526c98,2025-02-28 10:44:18,1418.22,38215.71,36797.49,9,Online Purchase,Mobile,1,0,1
Cristian West,71,77e52e80-1f33-4e57-9c7c-6283ad25953f,2025-05-16 17:42:15,1914.43,5648.27,3733.84,3,Bill Payment,Web,0,0,0
David Palmer,42,977cbce2-d1b8-4adb-bec6-4a5bb9fa1ae4,2025-02-04 12:06:02,583.56,41125.75,40542.19,10,Bill Payment,ATM,0,0,0
Linda Parrish,25,6f45483b-7d40-4bd7-80a4-baca6806eff3,2025-09-30 05:08:46,1252.29,46211.1,44958.81,6,Bill Payment,ATM,0,0,0
Frank Hill,42,28d6ee24-eda6-4057-be20-e3ca9b6cacc5,2025-01-12 18:25:43,281.71,17367.91,17086.2,3,ATM Withdrawal,ATM,0,0,0
Tiffany Jones,39,a81c1d8e-52a2-435a-b116-e43bcb383601,2025-07-29 17:06:38,761.03,29232.09,28471.06,2,Online Purchase,ATM,0,0,0
Robert Hunt,71,8824af0a-ee72-47eb-882f-f947760ba9d6,2025-06-01 03:55:04,472.25,2856.35,2384.1,13,Online Purchase,Web,0,0,0
Mark Adams,42,404ce118-69d3-4fe4-a160-912d9f2021a9,2025-02-01 13:35:31,1936.54,4268.48,2331.94,14,Transfer,Web,0,0,0
Joseph Smith,57,5183b5f7-e82f-4637-9eeb-a52cf9968f19,2025-07-23 20:09:18,2262.79,4536.64,2273.85,19,ATM Withdrawal,Mobile,0,0,0
Bobby Wright,19,8e678e0e-70af-4ede-97e7-2335d65d7e6f,2025-08-20 06:17:38,5920.47,30952.53,25032.06,7,Online Purchase,Mobile,0,0,0
Mark Weaver,32,4f25b3d8-b5ec-4cd0-bd5d-efeb092b3ebd,2025-01-04 19:32:59,3202.18,5510.07,2307.89,5,Bill Payment,Web,0,0,0
Brian Williams,27,16d23590-be5a-44ac-9ee0-181a6a3b2af0,2025-05-18 09:51:45,9000.56,29762.97,20762.41,2,Online Purchase,ATM,0,0,0
Elizabeth Gonzalez,39,2fbce811-7230-493b-a79a-189b1cc698f9,2025-08-03 14:10:26,1499.76,32937.0,31437.24,2,Bill Payment,POS,0,0,0
Annette Reynolds,59,7e3120ca-26ba-437d-aef1-89aa0c42d3d2,2025-05-03 21:49:22,3229.12,19790.16,16561.04,14,ATM Withdrawal,POS,0,1,1
John Smith,51,266b7cb8-a581-48ce-8052-936694ed6b8d,2025-03-05 19:36:52,1474.4,18895.85,17421.45,3,Online Purchase,ATM,0,0,0
Todd Orr,31,095f7742-9b63-49f1-8d49-908071871f48,2025-10-24 14:11:05,2455.75,16119.77,13664.02,5,ATM Withdrawal,Web,0,0,0
Jean Tate,38,23aa81ae-f827-41a8-9684-05f9bb423533,2025-05-16 03:10:34,408.98,10086.62,9677.64,12,Bill Payment,Mobile,0,0,0
Adam Martin,56,a5fc91a7-ab48-4b78-83ed-d9c224cb78b7,2025-02-03 19:05:27,946.35,44066.78,43120.43,9,ATM Withdrawal,ATM,0,0,0
Julie Carter,24,321a975c-b613-4f64-ade7-de0de0417ba0,2025-01-07 09:38:03,1701.73,2655.07,953.34,16,Online Purchase,Mobile,0,0,0
Eric Henson,74,2e3f995b-ed39-4068-820d-e1403d493ee3,2025-01-15 16:34:06,2120.6,5651.38,3530.78,17,Transfer,ATM,0,0,0
Brandi Mcdaniel,48,c79ddb25-c9a5-4b6b-bc19-ffd02c87d95c,2025-01-11 00:07:58,665.69,5480.57,4814.88,9,Bill Payment,Web,0,0,0
Christopher Daniels,50,009a6c4c-3bc1-4936-b44b-33f77ab8b44f,2025-05-16 16:00:57,2890.03,4107.31,1217.28,2,Bill Payment,POS,1,0,1
Cindy Walter,31,9e5cfcc7-0588-4834-9020-56796d8dda52,2025-08-02 23:00:25,831.54,25619.46,24787.92,13,Transfer,Web,0,0,0
Patrick Smith,25,8e424f42-9d8f-4bb7-9145-e51ecd3a31b5,2025-09-13 01:51:08,4234.66,17804.12,13569.46,17,Transfer,ATM,0,1,1
Amanda White,24,182a2474-cc2d-48b8-b994-68c57ca5ef0f,2025-10-18 18:17:04,1126.16,25844.74,24718.58,17,Transfer,ATM,0,0,0
Sarah Alvarez,52,45298242-ccd3-4191-9115-1d82b2c8570a,2025-09-04 21:37:22,670.79,3979.19,3308.4,14,Bill Payment,Mobile,0,0,0
Brittany Wilson,58,49019199-0f4a-4c1a-b890-d62da872fe8b,2025-04-19 13:24:26,564.8,49128.86,48564.06,4,Online Purchase,POS,1,0,1
Natalie Schneider,37,dbea3ef8-a81d-47a8-a8d2-ee771f109ff2,2025-01-25 07:13:26,150.27,21089.31,20939.04,13,Transfer,ATM,1,0,1
Michael Montgomery,72,2421f7df-57fb-46a6-9782-34a64fdfd797,2025-06-19 10:18:37,1583.73,5367.94,3784.21,2,ATM Withdrawal,POS,0,0,0
Mrs. Jasmine Vargas,38,7b675e24-1900-4d96-ba99-f6680e199419,2025-04-17 12:06:18,2600.43,32541.2,29940.77,16,ATM Withdrawal,POS,0,0,0
Sarah Cole,74,34b45d8b-1f9e-4fc4-9c6b-483437fa900b,2025-02-07 22:03:04,837.1,39251.67,38414.57,18,ATM Withdrawal,Web,0,0,0
Amanda Dixon,54,49ca20a1-fbf3-4c8a-be4d-68b606a29fa5,2025-02-27 17:50:48,418.99,5808.17,5389.18,4,Transfer,Web,0,0,0
Erika Collins,20,a977cacd-fe42-4234-82bc-ebcd87756fd1,2025-02-15 02:10:50,5506.08,5831.89,325.81,19,Transfer,POS,0,0,0
Deborah Ochoa,25,2fd2ef0d-ce41-4546-829e-5098f6ed8c0a,2025-03-02 12:10:12,390.91,39072.29,38681.38,16,ATM Withdrawal,Mobile,0,1,1
Corey Potter Jr.,43,280e955a-afc2-479b-8569-0265b25f83fb,2025-01-15 21:52:03,774.43,35321.36,34546.93,3,Bill Payment,Mobile,0,0,0
Robert Butler,70,ff0aa059-62f4-480a-b538-07520dbab66f,2025-06-26 19:33:31,2394.81,15338.99,12944.18,5,Bill Payment,Mobile,0,0,0
David Macias,20,c98737ac-7032-4efb-b76e-e992d22c447e,2025-09-15 00:26:22,2825.03,38977.39,36152.36,17,Transfer,Mobile,0,0,0
Nicholas Ward,48,efc2bf00-cfc5-4eba-93c8-200af68859bd,2025-01-23 05:28:02,1928.45,44669.55,42741.1,18,Transfer,Web,0,0,0
Marissa Kim,41,1730848a-7199-4eb6-a620-46ae7f1c797d,2025-09-04 06:20:35,3963.47,28666.33,24702.86,19,Bill Payment,ATM,0,0,0
Thomas Miller,25,d69bca49-b58b-4234-bf28-932169e0d286,2025-04-14 19:29:07,524.77,9325.43,8800.66,5,Transfer,POS,0,0,0
Michael Palmer,36,11e96965-f829-4a92-b875-313ce142e860,2025-04-19 02:32:40,3251.07,30678.0,27426.93,16,ATM Withdrawal,Mobile,0,0,0
Harry Spencer,32,5ec7eee7-e528-483b-a91d-927c63d1f1ad,2025-04-13 12:38:00,934.34,33935.59,33001.25,17,Transfer,Mobile,0,1,1
Jose Serrano,18,9534a932-fd99-4437-9b5b-c85284ebf0f0,2025-04-26 03:05:08,2573.83,43382.92,40809.09,1,Online Purchase,POS,0,0,0
John Williams,20,ec0733c3-5f5f-42fb-b3aa-b6ff3ea8cb08,2025-09-23 12:44:05,359.96,1006.49,646.53,10,Transfer,POS,0,0,0
Jeffrey Spencer,71,9febf4ed-93c6-4272-b203-8cfd2dc30f21,2025-05-06 18:09:14,3141.98,36707.32,33565.34,5,ATM Withdrawal,POS,0,0,0
Christina Castaneda,21,17afe8e3-eb42-4268-81cf-2593e79a3ae6,2025-05-24 08:32:28,3163.46,36727.23,33563.77,12,Online Purchase,POS,1,0,1
Andrea Sanchez,72,7a3caef0-f6b9-42e5-b703-14b7a80bed36,2025-04-26 22:15:00,1346.78,25653.86,24307.08,12,Transfer,ATM,0,0,0
Steven Chapman,26,778f69d4-6b62-405b-91c0-46b09dbff5ec,2025-02-09 03:20:49,1846.38,19686.13,17839.75,13,Transfer,Web,0,0,0
Donald Koch,42,74f1695b-975e-4223-b26e-7c6b2ef35be2,2025-07-22 22:06:20,1250.19,22799.32,21549.13,16,Bill Payment,ATM,0,1,1
Kevin Baxter,32,14288dd0-72d9-42e3-863f-152a5118637b,2025-08-04 07:17:22,300.96,7747.84,7446.88,9,ATM Withdrawal,POS,0,1,1
Steven Espinoza,22,8ec2880c-667c-4306-9f59-8d6838f53109,2025-03-08 20:22:07,2438.77,45038.3,42599.53,12,Online Purchase,POS,0,0,0
Timothy Liu,19,5ecb7d0f-424a-40d1-aed4-5d4ed9f32a3c,2025-03-04 09:31:31,1948.69,34598.4,32649.71,6,Bill Payment,Mobile,0,0,0
Patrick Chavez,27,946d04b1-a468-4bc4-8a53-f30fd126a516,2025-02-01 14:26:20,1471.37,2402.31,930.94,8,Online Purchase,Mobile,0,0,0
Kristin Thompson,47,5049b200-b98c-48de-8fff-e1c1efd670a2,2025-01-19 19:53:06,2287.8,32434.84,30147.04,10,Online Purchase,Web,0,0,0
Mark Myers,23,8c82cce7-61e0-4a19-befd-8f987f2ba8d0,2025-08-25 02:19:43,340.84,20931.7,20590.86,1,Online Purchase,Mobile,0,1,1
David Vega,36,fd9df0f7-bc9e-4fb6-90a9-0fe7dc20c652,2025-06-13 00:47:09,2174.96,36060.87,33885.91,5,Online Purchase,Web,0,0,0
Christina Maldonado,36,0c3f78e6-d16a-4d9c-b727-915f20cabacf,2025-08-13 11:55:40,1788.95,13002.93,11213.98,17,Bill Payment,Web,0,0,0
Alyssa Hansen,47,35d41651-673c-4526-b293-5ce69bd674d8,2025-06-01 23:46:02,294.24,44288.39,43994.15,3,Bill Payment,Web,0,0,0
Mike Anderson,18,04ddcd97-e1b1-403c-b82d-03205e6cac87,2025-07-13 16:33:41,6937.92,10034.93,3097.01,18,Bill Payment,Web,0,1,1
Chris Vaughan,56,b8737512-00a5-48ac-9143-2c13977377b1,2025-05-03 05:00:11,1642.95,11659.8,10016.85,13,Bill Payment,Mobile,0,0,0
Savannah Alvarado,68,198f901e-1c6f-486e-a412-880dbd52a938,2025-10-05 11:22:38,1034.32,5623.03,4588.71,12,Bill Payment,Mobile,0,1,1
Elijah Jacobs,19,da482991-cdcb-47a4-beff-5e9f1f76e1b0,2025-04-29 19:45:47,237.92,48820.11,48582.19,7,Transfer,ATM,0,1,1
Scott Jensen,66,e241f611-495c-4c6e-be27-83ad74b30786,2025-05-24 14:02:29,344.15,5456.03,5111.88,6,Transfer,ATM,0,1,1
Vincent Robinson,32,31af1fff-89d6-48ef-90b6-513bfcfa10da,2025-01-17 04:08:04,575.29,6638.32,6063.03,2,Transfer,Mobile,0,1,1
Jason Spencer,18,156f2b60-27fa-4f90-9426-3f19678b6b11,2025-01-19 04:56:02,118.89,23368.36,23249.47,4,Online Purchase,ATM,0,0,0
Patrick Walsh Jr.,18,fa2951a8-dd9c-42bc-ac0c-8c00625d96c5,2025-07-06 22:00:01,112.2,23938.27,23826.07,16,Online Purchase,Mobile,0,1,1
Michael Bowen PhD,33,4145c90f-15ea-4733-b980-5c33c022132d,2025-07-29 13:48:15,26.02,33003.05,32977.03,13,Transfer,Web,0,0,0
Leah Oconnor,25,6bac6318-76e3-421c-88eb-75d63b5c212b,2025-03-07 19:14:34,882.14,20157.0,19274.86,1,Transfer,ATM,0,0,0
Norman Castro,73,85d10c56-b567-436e-b492-bd739c9ec4bf,2025-08-04 07:09:42,1511.0,19393.57,17882.57,6,ATM Withdrawal,Web,0,0,0
Justin Powers,69,5275611c-f3ca-4c07-9d29-d115a15b5947,2025-04-05 06:07:59,1288.54,16071.73,14783.19,14,Transfer,Mobile,0,1,1
Edwin Rodriguez,24,d261b252-7ccb-4350-b24b-e5f787e92ca8,2025-01-12 02:52:12,2028.04,1244.57,-783.47,17,Bill Payment,Mobile,0,0,0
Donna Moreno,25,ad702fc8-c4c0-4e6f-a1ea-360e6c18211e,2025-01-26 13:19:43,4821.13,7843.04,3021.91,5,ATM Withdrawal,Web,0,0,0
Thomas Bishop,74,72fe81d4-7762-4051-b260-0512edf87e1d,2025-03-11 16:09:38,502.95,35625.56,35122.61,8,Transfer,ATM,1,0,1
Erik Harris,25,b78bd169-1be0-4777-abcd-b9e09a4cee17,2025-01-03 05:58:58,1777.32,47927.63,46150.31,2,ATM Withdrawal,Web,0,1,1
Steven Cortez,50,a6ceecec-bd0b-4df9-b614-c9b03775f596,2025-02-15 13:09:09,7022.63,11558.02,4535.39,8,ATM Withdrawal,Mobile,0,0,0
Carlos Frazier,25,8673d7b0-441a-4880-bd40-44393297320c,2025-10-09 10:42:50,9419.47,30950.45,21530.98,16,Transfer,ATM,1,0,1
William Smith,60,04f92765-50db-441e-88ec-c77aebaa170f,2025-04-16 22:06:14,297.87,34168.6,33870.73,12,ATM Withdrawal,POS,0,0,0
Aaron Harris,25,03ccd1b1-1c19-45ca-b959-a75640aca868,2025-02-18 06:32:51,2633.58,22538.4,19904.82,12,ATM Withdrawal,Web,0,1,1
Amber Moore,38,092cc4e5-2d3a-42aa-a10b-f6defb834a45,2025-06-24 03:59:42,231.18,5581.48,5350.3,11,Transfer,POS,0,0,0
Brett Hale,50,40f84324-cae4-421f-8fdd-79ddfb2ed991,2025-10-15 19:13:21,643.19,18362.25,17719.06,10,ATM Withdrawal,Web,1,0,1
Mary Gross,31,4380a59e-b19b-4066-8212-71c1138b3dc9,2025-09-24 11:07:22,605.5,6040.16,5434.66,16,Bill Payment,Web,0,0,0
Tara Schmidt,57,ae347822-43a0-4b27-8a9f-8f746f419c06,2025-08-09 16:32:00,714.74,34850.77,34136.03,16,Bill Payment,ATM,0,0,0
Judy Gardner,31,0dc76bd4-c494-4be0-988e-64d7d33ed7f3,2025-08-30 04:31:39,982.4,41152.38,40169.98,11,Online Purchase,POS,0,0,0
Amy Davila,48,86e20ab2-30a2-4bc3-9449-24198d28c202,2025-05-25 12:47:39,211.95,20850.13,20638.18,9,Transfer,Web,0,0,0
Mrs. Wendy Smith,54,ece7a78c-3221-4941-a1cb-d93ae0561f97,2025-08-08 02:29:11,2239.37,1341.53,-897.84,17,Bill Payment,POS,1,0,1
Matthew Sanchez,57,0ea0c19f-d93a-4506-8206-2591abb613b6,2025-04-27 16:26:52,55.98,14507.78,14451.8,15,ATM Withdrawal,Web,0,0,0
Joshua Ruiz,38,d60549c1-de27-41c0-a00e-3c8db76803b4,2025-10-21 04:47:31,3062.1,44609.44,41547.34,6,Online Purchase,ATM,0,1,1
Cindy Morrow,49,75f0125d-bd4c-441c-9d2f-77d76be4cc40,2025-10-15 11:07:13,3193.56,7989.79,4796.23,10,Transfer,POS,0,0,0
Mrs. Tami Lambert,32,735fae63-77fd-4f9d-b929-7ecafd425ae8,2025-10-13 15:39:26,3060.81,46080.27,43019.46,4,ATM Withdrawal,Web,0,0,0
Adam Hamilton,45,3e467645-e3f5-41ba-86d7-5c8fe2dad00a,2025-02-21 11:57:47,3816.9,43686.82,39869.92,3,Bill Payment,POS,0,0,0
Danielle Smith,19,2dd1658d-620f-4a49-adfa-f118025f8201,2025-10-22 23:56:25,1502.93,34981.71,33478.78,8,Online Purchase,Web,1,0,1
Monica Ayala,47,1ea72d56-3009-46f3-b66b-e399ac0a820f,2025-03-10 17:14:25,341.39,1805.52,1464.13,4,Transfer,Mobile,0,0,0
Jacqueline Scott,54,4a73b803-a896-4f8b-a9b4-e3eefa8667e4,2025-03-05 15:03:40,1106.17,40154.19,39048.02,18,ATM Withdrawal,Mobile,0,0,0
Samantha Brooks,32,9c0417eb-b9e7-4bc0-908e-49947e375d21,2025-03-14 20:15:21,998.74,47376.01,46377.27,17,Bill Payment,Web,0,1,1
Connor Hart,28,c8474626-e040-41b4-a685-0b67938bf029,2025-08-23 14:59:48,2192.63,30939.53,28746.9,12,Bill Payment,ATM,0,0,0
Sherri Lee,21,2a8a5f0a-cae4-44db-a29e-6e249a4a6b5c,2025-05-31 02:10:19,5327.11,14061.12,8734.01,9,Transfer,ATM,0,0,0
Amber Clarke,45,c1728475-53cc-4803-a778-2df27f7c4784,2025-06-27 20:54:15,2612.85,4766.39,2153.54,19,Bill Payment,Mobile,0,0,0
Keith Cherry,32,b8389852-dd24-4dce-8959-b2b911277aa0,2025-06-24 07:06:49,1996.83,25811.14,23814.31,19,Transfer,Mobile,0,1,1
Katherine Baker,65,d9442cb1-eab3-4505-ab58-12bbd1f5df71,2025-09-28 12:17:22,1016.41,7789.37,6772.96,12,Bill Payment,Mobile,0,0,0
Leroy Gonzales DDS,74,9b3f2bf2-8b7d-4a21-b3bd-e5f75af659a4,2025-03-17 21:37:57,1971.82,26015.88,24044.06,14,Bill Payment,ATM,0,1,1
Cassandra Riley,51,e51e2b77-6478-427e-af59-11f254475255,2025-10-04 12:01:17,3686.42,37226.24,33539.82,9,Bill Payment,Mobile,1,0,1
Mitchell Wong,56,928dcf75-6cfc-40d6-984d-566655047133,2025-07-01 06:42:04,2421.82,9441.18,7019.36,10,ATM Withdrawal,ATM,0,0,0
